from,to,distance
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/ecoMOD_ribboncutting Folder/DirectorJohnQuale.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Access UVa RAW/NW9M9595.webp,0.805397
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones Stage/NW9M5115.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones Stage/NW9M5116.webp,0.805364
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Madison House Pumpkin Carving/Madison_House_Erin_Scott_02HiRes_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Madison House Pumpkin Carving/Madison_House_Erin_Scott_01HiRes_DA.webp,0.805357
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5626.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5621.webp,0.805341
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4207.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4208.webp,0.805333
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa - Wake Forest/NW9M1307.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa Clemson/NW9M0157.webp,0.805321
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 DA/NW9M2590.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3856.webp,0.805312
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/DSC_0008.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/DSC_0048.webp,0.805267
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Well Bear Clinic/Well Bear Clinic RAW/CRW_2419.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Well Bear Clinic/Well Bear Clinic RAW/CRW_2422.webp,0.805242
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/ecoMOD Install/NW9M2127.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/ecoMOD Install/NW9M2146.webp,0.805226
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Football 11-5-05/Football - Temple - Ga Tech/Dan Addison - Ga Tech/IMG_6823.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Football 11-5-05/Football - Temple - Ga Tech/Dan Addison - Ga Tech/IMG_6816.webp,0.805225
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Youth Orchestra Workshop/Youth Orchestra Workshop RAW/NW9M6398.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Youth Orchestra Workshop/Youth Orchestra Workshop RAW/NW9M6232.webp,0.805187
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Move In 05/MoveIn-05_15_JL.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Student Life 5-11 RAW/NW9M1119.webp,0.805156
